anio,posicion,seleccion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
2010,1,Espana,Final,18,7,6,0,1,8,2,6
2010,2,Paises Bajos,Final,18,7,6,0,1,12,6,6
2010,3,Alemania,Partido 3er Puesto,15,7,5,0,2,16,5,11
2010,4,Uruguay,Partido 3er Puesto,11,7,3,2,2,11,8,3
2010,5,Argentina,Cuartos de Final,12,5,4,0,1,10,6,4
2010,6,Brasil,Cuartos de Final,10,5,3,1,1,9,4,5
2010,7,Ghana,Cuartos de Final,8,5,2,2,1,5,4,1
2010,8,Paraguay,Cuartos de Final,6,5,1,3,1,3,2,1
2010,9,Japon,Octavos de Final,7,4,2,1,1,4,2,2
2010,10,Chile,Octavos de Final,6,4,2,0,2,3,5,-2
2010,11,Portugal,Octavos de Final,5,4,1,2,1,7,1,6
2010,12,Estados Unidos,Octavos de Final,5,4,1,2,1,5,5,0
2010,13,Inglaterra,Octavos de Final,5,4,1,2,1,3,5,-2
2010,14,Mexico,Octavos de Final,4,4,1,1,2,4,5,-1
2010,15,Corea del Sur,Octavos de Final,4,4,1,1,2,6,8,-2
2010,16,Eslovaquia,Octavos de Final,4,4,1,1,2,5,7,-2
2010,17,Costa de Marfil,Grupos 1ra Ronda,4,3,1,1,1,4,3,1
2010,18,Eslovenia,Grupos 1ra Ronda,4,3,1,1,1,3,3,0
2010,19,Suiza,Grupos 1ra Ronda,4,3,1,1,1,1,1,0
2010,20,Sudafrica,Grupos 1ra Ronda,4,3,1,1,1,3,5,-2
2010,21,Australia,Grupos 1ra Ronda,4,3,1,1,1,3,6,-3
2010,22,Nueva Zelanda,Grupos 1ra Ronda,3,3,0,3,0,2,2,0
2010,23,Serbia,Grupos 1ra Ronda,3,3,1,0,2,2,3,-1
2010,24,Dinamarca,Grupos 1ra Ronda,3,3,1,0,2,3,6,-3
2010,25,Grecia,Grupos 1ra Ronda,3,3,1,0,2,2,5,-3
2010,26,Italia,Grupos 1ra Ronda,2,3,0,2,1,4,5,-1
2010,27,Nigeria,Grupos 1ra Ronda,1,3,0,1,2,3,5,-2
2010,28,Argelia,Grupos 1ra Ronda,1,3,0,1,2,0,2,-2
2010,29,Francia,Grupos 1ra Ronda,1,3,0,1,2,1,4,-3
2010,30,Honduras,Grupos 1ra Ronda,1,3,0,1,2,0,3,-3
2010,31,Camerun,Grupos 1ra Ronda,0,3,0,0,3,2,5,-3
2010,32,Corea del Norte,Grupos 1ra Ronda,0,3,0,0,3,1,12,-11
