anio,posicion,seleccion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
1982,1,Italia,Final,11,7,4,3,0,12,6,6
1982,2,Alemania Occidental,Final,8,7,3,2,2,12,10,2
1982,3,Polonia,Partido 3er Puesto,9,7,3,3,1,11,5,6
1982,4,Francia,Partido 3er Puesto,8,7,3,2,2,16,12,4
1982,5,Brasil,Grupos 2da Ronda,8,5,4,0,1,15,6,9
1982,6,Inglaterra,Grupos 2da Ronda,8,5,3,2,0,6,1,5
1982,7,URSS,Grupos 2da Ronda,6,5,2,2,1,7,4,3
1982,8,Austria,Grupos 2da Ronda,5,5,2,1,2,5,4,1
1982,9,Irlanda del Norte,Grupos 2da Ronda,5,5,1,3,1,5,7,-2
1982,10,Belgica,Grupos 2da Ronda,5,5,2,1,2,3,5,-2
1982,11,Argentina,Grupos 2da Ronda,4,5,2,0,3,8,7,1
1982,12,Espana,Grupos 2da Ronda,4,5,1,2,2,4,5,-1
1982,13,Argelia,Grupos 1ra Ronda,4,3,2,0,1,5,5,0
1982,14,Hungria,Grupos 1ra Ronda,3,3,1,1,1,12,6,6
1982,15,Escocia,Grupos 1ra Ronda,3,3,1,1,1,8,8,0
1982,16,Yugoslavia,Grupos 1ra Ronda,3,3,1,1,1,2,2,0
1982,17,Camerun,Grupos 1ra Ronda,3,3,0,3,0,1,1,0
1982,18,Honduras,Grupos 1ra Ronda,2,3,0,2,1,2,3,-1
1982,19,Checoslovaquia,Grupos 1ra Ronda,2,3,0,2,1,2,4,-2
1982,20,Peru,Grupos 1ra Ronda,2,3,0,2,1,2,6,-4
1982,21,Kuwait,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4
1982,22,Chile,Grupos 1ra Ronda,0,3,0,0,3,3,8,-5
1982,23,Nueva Zelanda,Grupos 1ra Ronda,0,3,0,0,3,2,12,-10
1982,24,El Salvador,Grupos 1ra Ronda,0,3,0,0,3,1,13,-12
