anio,posicion,seleccion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
1958,1,Brasil,Final,11,6,5,1,0,16,4,12
1958,2,Suecia,Final,9,6,4,1,1,12,7,5
1958,3,Francia,Partido 3er Puesto,8,6,4,0,2,23,15,8
1958,4,Alemania Occidental,Partido 3er Puesto,6,6,2,2,2,12,14,-2
1958,5,Gales,Cuartos de Final,5,5,1,3,1,4,4,0
1958,6,URSS,Cuartos de Final,5,5,2,1,2,5,6,-1
1958,7,Irlanda del Norte,Cuartos de Final,5,5,2,1,2,6,10,-4
1958,8,Yugoslavia,Cuartos de Final,4,4,1,2,1,7,7,0
1958,9,Checoslovaquia,Grupos 1ra Ronda,3,4,1,1,2,9,6,3
1958,10,Hungria,Grupos 1ra Ronda,3,4,1,1,2,7,5,2
1958,11,Inglaterra,Grupos 1ra Ronda,3,4,0,3,1,4,5,-1
1958,12,Paraguay,Grupos 1ra Ronda,3,3,1,1,1,9,12,-3
1958,13,Argentina,Grupos 1ra Ronda,2,3,1,0,2,5,10,-5
1958,14,Escocia,Grupos 1ra Ronda,1,3,0,1,2,4,6,-2
1958,15,Austria,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5
1958,16,Mexico,Grupos 1ra Ronda,1,3,0,1,2,1,8,-7
